WAL;20;FW;Daniel James;10/11/1997
WAL;21;GK;Adam Davies;17/07/1992
WAL;22;MF;Sorba Thomas;25/01/1999
WAL;23;MF;Dylan Levitt;17/11/2000
WAL;24;DF;Ben Cabango;30/05/2000
WAL;25;MF;Rubin Colwill;27/04/2002
WAL;26;MF;Matthew Smith;22/11/1999
ARG;1;GK;Franco Armani;16/12/1986
ARG;2;DF;Juan Foyth;12/01/1998
ARG;3;DF;Nicolás Tagliafico;31/08/1992
ARG;4;DF;Gonzalo Montiel;01/01/1997
ARG;5;MF;Leandro Paredes;29/06/1994
ARG;6;DF;Germán Pezzella;27/06/1991
ARG;7;MF;Rodrigo De Paul;24/05/1994
ARG;8;MF;Marcos Acuña;28/12/1991
ARG;9;FW;Julián Álvarez;31/01/2000
ARG;10;FW;Lionel Messi;24/06/1987
ARG;11;FW;Ángel Di María;14/02/1988
ARG;12;GK;Gerónimo Rulli;20/05/1992
ARG;13;DF;Cristian Romero;27/04/1998
ARG;14;MF;Exequiel Palacios;05/12/1998
ARG;15;FW;Ángel Correa;09/03/1995
ARG;16;MF;Thiago Almada;26/04/2001
ARG;17;MF;Papu Gómez;15/02/1988
ARG;18;MF;Guido Rodríguez;12/04/1994
ARG;19;DF;Nicolás Otamendi;12/02/1988
ARG;20;MF;Alexis Mac Allister;24/12/1998
ARG;21;FW;Paulo Dybala;15/11/1993
ARG;22;FW;Lautaro Martínez;22/08/1997
ARG;23;GK;Emiliano Martínez;02/09/1992
ARG;24;MF;Enzo Fernández;17/01/2001
ARG;25;DF;Lisandro Martínez;18/01/1998
ARG;26;DF;Nahuel Molina;06/04/1998
MEX;1;GK;Alfredo Talavera;18/09/1982
MEX;2;DF;Néstor Araujo;29/08/1991
MEX;3;DF;César Montes;24/02/1997
MEX;4;DF;Edson Álvarez;24/12/1997
MEX;5;DF;Johan Vásquez;22/12/1998
MEX;6;DF;Gerardo Arteaga;07/09/1998
MEX;7;MF;Luis Romo;05/06/1995
MEX;8;MF;Carlos Rodríguez;03/01/1997
MEX;9;FW;Raúl Jiménez;05/05/1991
MEX;10;FW;Alexis Vega;25/11/1997
MEX;11;FW;Rogelio Funes Mori;05/03/1991
MEX;12;GK;Rodolfo Cota;03/07/1987
MEX;13;GK;Guillermo Ochoa;13/07/1985
MEX;14;MF;Érick Gutiérrez;15/06/1995
MEX;15;DF;Héctor Moreno;17/01/1988
MEX;16;MF;Héctor Herrera;19/04/1990
MEX;17;FW;Orbelín Pineda;24/03/1996
MEX;18;MF;Andrés Guardado;28/09/1986
MEX;19;DF;Jorge Sánchez;10/12/1997
MEX;20;FW;Henry Martín;18/11/1992
MEX;21;FW;Uriel Antuna;21/08/1997
MEX;22;FW;Hirving Lozano;30/07/1995
MEX;23;DF;Jesús Gallardo;15/08/1994
MEX;24;MF;Luis Chávez;15/01/1996
